Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat,Lon
Theft,20130501,02/16/2013 - 10:37pm,2/16/13,TBUT OR DISP BICYCLES/M,No,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20143420,11/21/2014 - 1:00pm,12/9/14,"THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$10,000/F.",No,Open,1608 University Ct,38.019937,-84.510232
Burglary,20143141,11/01/2014 - 12:00pm,11/11/14,BURGLARY 2ND DEGREE/F,Yes,Unfounded,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20142253,08/21/2014 - 7:00pm,8/22/14,TBUT OR DISP BICYCLES U/$500/M,No,Open,1608 UNIVERSITY CT,38.019937,-84.510232
Assault,20141921,07/22/2014 - 12:45am,7/22/14,"ASSAULT 4TH (DOMESTIC VIOLENCE) MINOR INJURY/M, HARASSMENT (PHYSICAL CONTACT)/M, CRIMINAL MISCHIEF 3RD/M",Yes,Open,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,2014118060,02/14/2014 - 9:00am,7/21/14,"THEFT BY DECEPTION - INCLUDE COLD CHECKS $10,000 OR MORE/F",Yes,Closed - Lexington Police Report,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,2014112838,07/04/2014 - 9:30pm,7/10/14,TBUT OR DISP BICYCLES U/$500/M,No,Closed - Lexington Police Report,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,CSA20140872,07/04/2014 - 9:55pm,7/7/14,TBUT OR DISP BICYCLE,No,Closed - CSA,1608 UNIVERSITY CT,38.019937,-84.510232
All Other Offenses,20151878,07/20/2015 - 12:01am,8/24/15,FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,No,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Harassing Communications,20151486,05/01/2015 - 12:00am,7/7/15,HARASSING COMMUNICATIONS/M,Yes,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20151185,05/23/2015 - 9:00am,5/25/15,TBUT OR DISP BICYCLES U/$500/M,No,Open,1608 UNIVERSITY CT,38.019937,-84.510232
All Other Offenses,20150919,04/17/2015 - 10:00pm,4/17/15,"FRAUD USE OF CREDIT CARD $500 <$10,000/F",Yes,Open,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20150204,01/11/2015 - 5:00pm,1/25/15,TBUT OR DISP BICYCLE U/$500/M,No,Closed,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20150208,01/25/2015 - 12:00pm,1/25/15,THEFT OF MAIL MATTER/F,No,Open,1608 UNIVERSITY CT,38.019937,-84.510232
Theft,20133478,12/20/2013 - 3:30pm,12/23/13,TBUT OR DISP ALL OTHERS U/$500/M,No,Open,430 STADIUM VIEW,38.02018,-84.501885
Theft,20150215,01/01/2015 - 8:00am,1/26/15,"THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE $10,000 OR MORE/F",No,Open,430 STADIUM VIEW,38.02018,-84.501885
DUI,20132781,10/10/2013 - 1:04am,10/10/13,"SPEEDING 14 MPH OVER LIMIT, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEH U/INFLUENCE ALC/DRUGS/ETC .08 - 3RD/M",No,Cleared By Arrest,NICHOLASVILLE RD & ARCADIA PARK,38.020477,-84.513407
DUI,20131870,07/13/2013 - 3:39am,7/13/13,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, SPEEDING 26 MPH OVER OR > SPEED LIMIT",No,Cleared By Arrest,NICHOLASVILLE RD & ARCADIA PARK,38.020477,-84.513407
DUI,20131588,06/07/2013 - 2:40am,6/7/13,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUG/ETC .08 1ST OFF/M, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LIC/M, NO OPERATORS-MOPED LICENSE/M",No,Cleared By Arrest,NICHOLASVILLE RD & ARCADIA PARK,38.020477,-84.513407
DUI,20130729,03/12/2013 - 11:23pm,3/12/13,"OPERATING MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC .08 (AGG CIRCUMSTANCES) 2ND/M, FAILURE TO ILLUMINATE HEAD LAMPS, IMPROPER DISPLAY OF REGISTRATION PLATES",No,Cleared By Arrest,NICHOLASVILLE RD & ARCADIA PARK,38.020477,-84.513407
DUI,20151454,07/03/2015 - 2:30am,7/3/15,"NO REGISTRATION PLATES, FAILURE TO PRODUCE INSURANCE CARD, OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR VEH/U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,NICHOLASVILLE RD & ARCADIA PARK,38.020477,-84.513407
DUI,20151306,06/12/2015 - 1:59am,6/12/15,"RECKLESS DRIVING, ONE HEADLIGHT, POSS OF MARIJUANA/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & ARCADIA PARK,38.020477,-84.513407
Theft,2015063223,04/21/2015 - 6:00pm,4/23/15,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,00/F, CRIMINAL MISCHIEF 3RD/M",No,Closed - Lexington Police Report,2365 HARRODSBURG RD,38.021067,-84.54591
Harassing Communications,20142997,10/27/2014 - 3:30pm,10/28/14,HARASSING COMMUNICATIONS/M,No,Open,1530 COLLEGE WAY,38.021369,-84.502069
Harassment,20150700,03/19/2015 - 5:00am,3/20/15,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed,1530 COLLEGE WAY,38.021369,-84.502069
Theft,20130154,01/14/2013 - 1:00pm,1/14/13,TBUT OR DISP BUILDING/M,No,Closed,1625 NICHOLASVILLE ROAD,38.021393,-84.513641
DUI,20133380,12/13/2013 - 2:37am,12/13/13,"FAILURE TO ILLUMINATE HEAD LAMPS, OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
Drug Violations,20133267,12/03/2013 - 12:32am,12/3/13,"DISREGARDING STOP SIGN, POSS OF MARIJUANA/M",No,Citation issued,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
Drug Violations,2013142199,09/07/2013 - 1:10pm,9/10/13,RECEIVING STOLEN PROPERTY U/500 x 2,No,Closed - Lexington Police Report,Alumni Drive @ University Drive,38.021822,-84.509457
Theft,2014135239,08/08/2014 - 9:00pm,8/14/14,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Closed - Lexington Police Report,UNIVERSITY CT & ALUMNI DR,38.021822,-84.509457
DUI,20142113,08/08/2014 - 3:58am,8/8/14,"DISREGARDING STOP SIGN, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
Drug Violations,20141425,05/27/2014 - 12:19am,5/27/14,POSS OF MARIJUANA/M,No,Closed - N/A,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
Drug Violations,20141362,05/20/2014 - 11:10pm,5/20/14,"NO TAIL LAMPS, POSS OF MARIJUANA/M, POSS CONT SUB 1ST DEGREE, 2ND OFFENSE - COCAINE/F",No,Cleared By Arrest,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
DUI,20140911,04/11/2014 - 3:47am,4/11/14,"NO REGISTRATION PLATES, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M",No,Cleared By Arrest,UNIVERSITY CT & ALUMNI DR,38.021822,-84.509457
Drug Violations,20151055,05/05/2015 - 2:31am,5/5/15,"CARELESS DRIVING, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, TRAF IN MARIJUANA (8 OZ TO < 5 LBS.) 1ST OFF/F, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
Alcohol Intoxication,20150795,04/05/2015 - 1:10am,4/5/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,UNIVERSITY CT & ALUMNI DR,38.021822,-84.509457
Drug Violations,20150124,01/15/2015 - 8:09pm,1/15/15,"NO REGISTRATION PLATES, POSS OF MARIJUANA/M",No,Citation issued,ALUMNI DR & UNIVERSITY DR,38.021822,-84.509457
Criminal Mischief,20151835,08/19/2015 - 7:45am,8/19/15,CRIMINAL MISCHIEF 3RD/M,No,Closed,1451 UNIVERSITY DR,38.021847,-84.509461
Liquor Law Violation,M104797,09/28/2013 - 5:00pm,10/14/13,PERSON 18-200 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M104798,09/28/2013 - 5:00pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M104799,09/28/2013 - 5:00pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M104800,09/28/2013 - 5:30pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,I066335,09/28/2013 - 5:30pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,I066336,09/28/2013 - 5:50pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,I066337,09/28/2013 - 6:10pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,I0066338,09/28/2013 - 7:00pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M107067,09/28/2013 - 12:00am,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOLIC BEVERAGE,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M107064,09/28/2013 - 5:10pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M107066,09/28/2013 - 5:30pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M107065,09/28/2013 - 5:45pm,10/14/13,PERSON 18-20 IN POSSESSION OF ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Theft,20132558,09/23/2013 - 9:00pm,9/24/13,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Closed,COOPER DR,38.021911,-84.493423
Theft,20132426,09/11/2013 - 8:00pm,9/11/13,TBUT OR DISP ALL OTHERS/F,No,Open,COOPER DRIVE,38.021911,-84.493423
Theft,20132290,08/29/2013 - 9:00pm,8/29/13,TBUT OR DISP CONTENTS FROM AUTO/F,No,Open,COOPER DR,38.021911,-84.493423
Theft,20132021,07/30/2013 - 6:50pm,7/30/13,TBUT OR DISP ALL OTHERS/F,No,Open,COOPER DR,38.021911,-84.493423
Theft,20131956,07/22/2013 - 10:15pm,7/22/13,TBUT OR DISP ALL OTHERS/F,No,Closed,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M105843,10/04/2014 - 4:20pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106369,10/04/2014 - 4:30pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106370,10/04/2014 - 5:00pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106371,10/04/2014 - 5:20pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106372,10/04/2014 - 5:20pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M105698,10/04/2014 - 5:15pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106425,10/04/2014 - 4:30pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106424,10/04/2014 - 4:30pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106139,10/04/2014 - 4:30pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M106140,10/04/2014 - 5:20pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Liquor Law Violation,M105844,10/04/2014 - 5:10pm,10/7/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Other Agency Report,COOPER DR,38.021911,-84.493423
Criminal Trespass,20141657,06/23/2014 - 10:07am,6/23/14,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,VETERANS DR & COOPER DR,38.021911,-84.493423
DUI,20140142,01/19/2014 - 3:02am,1/19/14,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,COOPER DR,38.021911,-84.493423
DUI,20152942,12/21/2015 - 11:20pm,12/21/15,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF/M, POSS OF MARIJUANA/M, POSS OF OPEN ALC BEVERAGE IN MOTOR VEH PROHIBITED, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,COOPER DR,38.021911,-84.493423
Drug Violations,20152921,12/18/2015 - 3:00pm,12/18/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Closed,COOPER DR,38.021911,-84.493423
DUI,20152817,12/03/2015 - 2:35am,12/3/15,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC. .08 (AGG CIRCUM) 1ST OFF)/M, CARELESS DRIVING",No,Cleared By Arrest,COOPER DR,38.021911,-84.493423
Theft,20152588,11/03/2015 - 5:54pm,11/3/15,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,COOPER DR,38.021911,-84.493423
Drug Violations,2013027115,02/24/2013 - 2:10am,2/24/13,ASSIST METRO REFERENCE ARREST FOR TRAFFICKING IN MARIJUANA; UNLAWFUL TRANSACTION WITH A MINOR,Yes,Closed - Lexington Police Report,224 ARCADIA PARK,38.021967,-84.516154
DUI,20133241,11/30/2013 - 3:19am,11/30/13,"ONE HEADLIGHT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 1ST AGG CIRCUM/M",No,Cleared By Arrest,NICHOLASVILLE RD & SHAWNEE PLACE,38.021996,-84.51286
Weapons Possession,20132044,08/03/2013 - 1:59am,8/3/13,"POSSESSION OF A FIREARM BY CONVICTED FELON/F, DEFACING A FIREARM/M",No,Cleared By Arrest,NICHOLASVILLE RD & BARBERRY LN,38.021996,-84.51286
DUI,20150698,03/20/2015 - 2:45am,3/20/15,"POSS OF MARIJUANA/M, CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 - 1ST OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & BARBERRY LN,38.021996,-84.51286
Theft,20131893,07/12/2013 - 11:05am,7/15/13,TBUT OR DISP FROM AUTO/M,No,Closed,1504 COLLEGE WAY,38.022029,-84.50184
Weapons Possession,20133533,12/31/2013 - 1:27am,12/31/13,"DRUG PARAPHERNALIA - BUY/POSSESS/M, CARRYING A CONCEALED WEAPON/M",No,Cleared By Arrest,COOPER DR & ELDEMERE RD,38.022293,-84.494428
Theft,20132717,10/03/2013 - 5:30pm,10/4/13,TBUT OR DISP FROM BUILDING/F,No,Open,1500 COLLEGE WAY,38.02234,-84.502031
Assault,20142210,08/18/2014 - 3:55pm,8/18/14,ASSAULT 4TH (MINOR INJURY)/M,No,Closed - Cleared By Exception,1500 COLLEGE WAY,38.02234,-84.502031
Harassment,20152432,10/20/2015 - 5:30pm,10/20/15,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed,1500 COLLEGE WAY,38.02234,-84.502031
Criminal Mischief,20160125,01/17/2016 - 2:20am,1/17/16,CRIMINAL MISCHIEF 3RD DEGREE/M,No,Closed,1500 COLLEGE WAY,38.02234,-84.502031
Theft,20140815,03/26/2014 - 2:00pm,3/31/14,TBUT or DISP Contenst from Vehicle Under $500/M,No,Closed,740 Cooper Drive,38.022611,-84.494999
Alcohol Intoxication,20142750,10/04/2014 - 7:38pm,10/4/14,Alcohol Intox in a public place (1st & 2nd offense/v,No,Cleared By Arrest,College Way and Sports Center,38.022715,-84.502622
DUI,20142223,08/20/2014 - 12:46am,8/20/14,"SPEEDING 19 MPH OVER LIMIT, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, POSS OF MARIJUANA/M",No,Cleared By Arrest,NICHOLASVILLE RD & DANTZLER DR,38.022885,-84.512552
DUI,20142131,08/10/2014 - 1:15am,8/10/14,"SPEEDING 20 MPH OVER LIMIT, RECKLESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & DANTZLER DR,38.022885,-84.512552
DUI,20141905,07/20/2014 - 2:30am,7/20/14,"NO TAIL LAMPS, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, NO OPERATORS-MOPED LICENSE/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, FAILURE TO PRODUCE INSURANCE CARD",No,Cleared By Arrest,NICHOLASVILLE RD & DANTZLER DR,38.022885,-84.512552
DUI,20152304,10/05/2015 - 11:27pm,10/5/15,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, CARELESS DRIVING",No,Cleared By Arrest,NICHOLASVILLE RD & DANTZLER DR,38.022885,-84.512552
DUI,20133454,12/21/2013 - 2:50am,12/21/13,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20133445,12/20/2013 - 2:40am,12/20/13,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20133236,11/29/2013 - 2:41am,11/29/13,"SPEEDING 21 MPH OVER LIMIT, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, POSS OPEN ALC BEVERAGE CONTAIN IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Drug Violations,2013187783,11/23/2013 - 3:09am,11/25/13,"FAILURE TO GIVE RIGHT OF WAY TO EMERGENCY STOPPED, OPER MOTOR VEHICLE U/INFLU/ALCOHOL <21 YOA, POSS OF MARIJUANA/M, PERSON 18-20 POSS/PURC/HAVE ANOTHER PURCHAS ALCOHO",No,Closed - Lexington Police Report,ALUMNI DR & NICHOLASVILLE RD,38.023087,-84.512476
Alcohol Intoxication,2013155142,09/28/2013 - 8:30pm,10/1/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE); ENDANGERING THE WELFARE OF A MINOR/M,No,Closed - Lexington Police Report,ALUMNI DR & NICHOLASVILLE RD,38.023087,-84.512476
DUI,2013155176,09/28/2013 - 9:55pm,10/1/13,DUI ALC/DRUG/ECT 1ST W/AGG CIRCUMSTANCES/M,No,Closed - Lexington Police Report,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Drug Violations,20132542,09/22/2013 - 11:29pm,9/22/13,"POSSESSION OF SYNTHETIC DRUGS - CLASS B MISDEMEANOR/M, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M, REAR LICENSE NOT ILLUMINATED",No,Citation issued,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Drug Violations,20132027,08/01/2013 - 2:03am,8/1/13,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, SPEEDING 15 MPH OVER LIMIT, NO REGISTRATION PLATES",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20131410,05/18/2013 - 1:27am,5/18/13,"OPER MTR VEHICLE U/INFLU ALC/DRUG/ETC .08 (AGG CIRCUM) 1ST/M, OPERTAIN ON SUS OR REV OPER LICENSE/M, CARELESS DRIVING",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20130888,03/29/2013 - 3:12am,3/29/13,"OPERATING MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, OPERATING ON SUSPENDED OR REVOKED OPERATOR'S LICENSE/M, DISREGARDING TRAFFIC CONTROL DEV-TRAFFIC LIGHT, NO REGISTRATION PLATES, NO REGISTRATION RECEIPT, POSSESSION OF OPEN ALCOHOL BEVERAGE CONTAINER IN MOTOR VEHICLE PROHIBITED",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Drug Violations,20130877,03/28/2013 - 1:49am,3/28/13,"POSSESSION OF MARIJUANA/M, SPEEDING 15 MPH OVER LIMIT",No,Citation issued,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20130764,03/17/2013 - 3:55am,3/17/13,"OPERATING MOTOR VEHICLE UNDER THE INFLUENCE ALCOHOL/DRUGS/ETC .08 1ST OFFENSE/M, SPEEDING 16 MPH OVER LIMIT",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Drug Violations,20130742,03/15/2013 - 1:49am,3/15/13,"POSSESSION OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, ONE HEADLIGHT, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC, 1ST/M",No,Citation issued,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20143163,11/14/2014 - 1:32am,11/14/14,"NO REGISTRATION PLATES, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 2ND OFF/M, NO REGISTRATION RECEIPT, POSS CONT SUB 2ND DEGREE - AMPHETAMINE/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20141334,05/18/2014 - 3:50am,5/18/14,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,ALUMNI DR & NICHOLASVILLE RD,38.023087,-84.512476
DUI,20140705,03/20/2014 - 2:20am,3/20/14,"Disregarding Traffic Cont Dev-Traffic Light/V, DUI 1st/M.",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20140323,02/07/2014 - 2:16am,2/7/14,"DISREGARDING TRAFFIC CONTROL DEV-TRAFFIC LIGHT, RECKLESS DRIVING, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
DUI,20140269,02/01/2014 - 2:00am,2/1/14,OPER MOTOR VEHICLE U/INFLU ALCOHOL <21 YOA,No,Citation issued,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Criminal Mischief,2014013388,01/25/2014 - 7:35pm,1/30/14,"DRIVING TOO FAST FOR TRAFFIC CONDITIONS, CRIMINAL MISCHIEF 2ND",No,Closed - Lexington Police Report,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
Alcohol Intoxication,2015166527,09/26/2015 - 11:35pm,10/7/15,"DRINKING ALCOHOLIC BEVERAGES IN PUBLIC PLACE (1ST & 2ND OFFENSES), ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",No,Closed - Lexington Police Report,ALUMNI DR & NICHOLASVILLE RD,38.023087,-84.512476
Assault,2015164794,09/19/2015 - 7:40pm,10/6/15,ASSAULT 4TH DEGREE (MINOR INJURY)/M,No,Closed - Lexington Police Report,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
All Other Offenses,20151000,04/26/2015 - 10:53pm,4/26/15,"FLEEING OR EVADING POLICE 1ST DEGREE (MOTOR VEHICLE)/F, DRIVING TOO FAST FOR TRAFFIC CONDITIONS",No,Closed,NICHOLASVILLE RD & ALUMNI DR,38.023087,-84.512476
All Other Offenses,2015057858,04/13/2015 - 11:10am,4/22/15,ENDANGERING UNDERGROUND FACILITY - EXCAVATOR,No,Closed - Lexington Police Report,ALUMNI DR & NICHOLASVILLE RD,38.023087,-84.512476
Theft,20133364,12/11/2013 - 3:30pm,12/11/13,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open,1540 UNIVERSITY DR,38.023281,-84.506236
Theft,20133363,12/11/2013 - 8:00am,12/11/13,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,1540 UNIVERSITY DR,38.023281,-84.506236
Alcohol Intoxication,20133320,12/08/2013 - 12:04am,12/8/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,1540 UNIVERSITY DR,38.023281,-84.506236
